model,lambda,gamma,rho_pi_r0sq,N,peak_time_mean,peak_time_std,peak_magnitude_mean,peak_magnitude_std,extinction_time_mean,extinction_time_std,percolation_prob,percolation_stderr,mse_vs_sars
strong,0.4,0.5,20,637,6.249,1.1371011388614471,124.83,17.27967302931395,18.013,2.6066896631551675,0.989,0.0032983329122452166,nan
strong,0.4,0.7,10,318,7.57,4.330484961294751,33.665,16.177910093704934,17.533,7.7634342271961065,0.834,0.011766222843376714,nan
strong,0.4,0.7,15,477,6.652,1.9054910128363243,80.922,20.62032773745364,14.867,3.2913995503432885,0.952,0.006759881655768837,17.883283936542856
strong,0.4,0.7,20,637,6.236,1.2109104013096923,124.35,18.853156234434593,14.345,2.0726733944353124,0.985,0.0038438262187565153,nan
strong,0.4,1.0,10,318,7.047,4.624585494938978,30.676,17.19950650454832,15.353,7.852540416960616,0.774,0.013225883713385657,nan
strong,0.4,1.0,15,477,6.539,2.0905690612845107,78.596,22.97626566698775,12.47,3.197671027482346,0.933,0.007906389820898028,18.124810611389297
strong,0.4,1.0,20,637,6.149,1.3902514161114887,122.233,23.663404467658495,11.435,1.927115720448567,0.972,0.005216895628628201,nan
hub,0.0,0.3,10,318,10.883,12.78707593627253,6.619,4.243328764071905,32.91,23.286689331032008,0.168,0.011822690049223147,nan
hub,0.0,0.3,15,477,17.659,6.118555303337545,32.397,8.731975206103142,43.747,10.48212721731615,0.958,0.006343185319695463,nan
hub,0.0,0.3,20,637,13.483,2.636609754969438,62.242,10.62946075772426,35.978,5.690475902769468,0.987,0.0035820385257559714,nan
hub,0.0,0.5,10,318,3.78,5.163874514354507,4.397,3.1612325128025613,13.457,10.443186822038568,0.008,0.0028170906978654416,nan
hub,0.0,0.5,15,477,17.607,10.274753087057617,23.685,10.099097731975862,39.633,16.04924643090759,0.836,0.011709141727727102,nan
hub,0.0,0.5,20,637,13.98,3.5076487851550935,57.701,11.895360398071174,29.579,5.580480176472272,0.977,0.004740358636221528,nan
hub,0.0,0.7,10,318,2.089,3.311054061775495,3.414,2.7248126541103703,7.894,6.539477349146489,0.001,0.0009994998749374609,nan
hub,0.0,0.7,15,477,13.565,11.420848260965558,15.676,9.144781243966419,31.78,18.80642443421928,0.535,0.015772602828956293,nan
hub,0.0,0.7,20,637,14.202,4.4444567722051245,51.77,13.576638022721236,28.705,6.972802521224876,0.957,0.006414904519944161,nan
hub,0.0,1.0,10,318,1.038,1.903826672783003,2.743,2.3981140506656473,4.924,3.9020794456289587,0.0,0.0,nan
hub,0.0,1.0,15,477,6.618,7.391080841121953,9.714,6.5939520774722045,17.765,13.617333622996831,0.133,0.010738295954200556,nan
hub,0.0,1.0,20,637,14.856,6.880208136386573,41.037,14.856164747336374,29.896,10.095701263409095,0.904,0.009315793041926167,nan
hub,0.2,0.3,10,318,7.096,3.653872466302019,46.247,19.031920318244296,25.07,9.14992349694794,0.878,0.010349685985574635,nan
hub,0.2,0.3,15,477,6.062,1.8622985797127163,101.724,21.03843682406086,25.869,5.409975877949919,0.974,0.005032295698784007,nan
hub,0.2,0.3,20,637,5.271,1.2504235282495288,158.744,23.2754476648678,26.096,4.512514155102452,0.989,0.0032983329122452166,nan
